t,hr
0.0,72.45707561963165
1.24,70.44002384063926
2.48,73.12567679370969
3.7199999999999998,73.41084707458683
4.96,69.07344721701925
6.2,70.04673073970652
7.4399999999999995,72.19176060475093
8.68,71.52563611148463
9.92,71.97479826374357
11.16,70.72043410863964
12.4,73.31909696229424
13.64,73.16668790314343
14.879999999999999,72.09904604634183
16.12,73.69086181045205
17.36,72.70126401337806
18.6,70.71106130567514
19.84,72.55312617612375
21.08,70.56167609875651
22.32,73.31767545196091
23.56,71.92511113352062
24.8,71.72270645468211
26.04,70.9786056833941
27.28,73.83381200801105
28.52,71.76820577689679
29.759999999999998,71.35750826675535
31.0,71.47179967426766
32.24,72.79846377833002
33.48,72.54816609654611
34.72,72.61909891739398
35.96,72.64623150451182
37.2,75.21247140130569
38.44,71.39037747542308
39.68,71.2316359063927
40.92,71.79134090762818
42.16,75.29996913386323
43.4,77.43345843908133
44.64,76.93307881351768
45.88,77.20776528455622
47.12,78.59527817646314
48.36,82.17188918173704
49.6,83.67488125680516
50.839999999999996,84.73873140245779
52.08,84.28973543906696
53.32,87.00024198460008
54.56,88.19102871371109
55.8,89.70803289509351
57.04,92.05114316692229
58.28,92.44339332316203
59.519999999999996,94.49037034460784
60.76,94.93736860423334
62.0,96.63367909803497
63.24,98.51093233875781
64.48,96.7422662702165
65.72,99.81249317546406
66.96,100.9504410185608
68.2,102.061683227635
69.44,103.97128662315997
70.67999999999999,107.24241196685159
71.92,103.70125332646013
73.16,106.45241753188722
74.4,102.47569534257629
75.64,104.49767245502134
76.88,105.2441295976575
78.12,105.87933349703891
79.36,106.06683986968929
80.6,106.19002085279989
81.84,104.47691239162734
83.08,104.30647231100315
84.32,106.28696382188573
85.56,104.71304351267757
86.8,103.08647051499312
88.04,103.30006917899478
89.28,103.62082157099758
90.52,105.74574111608065
91.76,105.21363860410585
93.0,106.03572803110166
94.24,104.3591210304952
95.48,105.23780953661507
96.72,105.938385590951
97.96,104.53598019041964
99.2,105.68516285633612
100.44,103.42631108840003
101.67999999999999,102.2378192301524
102.92,100.57299315900251
104.16,97.71504053161645
105.4,98.60245872117837
106.64,95.53109648969593
107.88,94.61714117809154
109.12,93.68271998835885
110.36,91.99459676404491
111.6,90.68607766345919
112.84,87.90347177323586
114.08,85.77945253193377
115.32,84.65802268364041
116.56,80.60979834906296
117.8,79.33333129136537
119.03999999999999,77.88315058146841
120.28,76.73452975859777
121.52,77.19326134008516
122.76,73.5985814169599
124.0,72.7527561689409
125.24,73.9488424466791
126.48,71.46560404340786
127.72,73.10627335270063
128.96,70.59957347998518
130.2,71.69184366319855
131.44,70.57496691763413
132.68,71.49145038614915
133.92,73.26046220618609
135.16,69.40901936521148
136.4,72.65163546531879
137.64,72.35660340349841
138.88,71.10877506645481
140.12,69.83091321841732
141.35999999999999,72.1081942615708
142.6,71.2057609364043
143.84,72.34901431703206
145.08,72.03277821828516
146.32,74.40266833698138
147.56,71.64096655879047
148.8,70.4647537610672
150.04,72.26891345243448
